numero_experimento;dataset;estructura_de_datos;cantidad_tweets;tiempo_ejecucion_us
2;auspol2019;STLUnorderedMap_user_screen_name;150000;19646
2;auspol2019;Chaining_user_id;160000;25091
2;auspol2019;Chaining_user_screen_name;160000;25692
2;auspol2019;ClosedLinear_user_id;160000;23561
2;auspol2019;ClosedLinear_user_screen_name;160000;22577
2;auspol2019;ClosedQuadratic_user_id;160000;21418
2;auspol2019;ClosedQuadratic_user_screen_name;160000;21193
2;auspol2019;ClosedDoubleHashing_user_id;160000;37045
2;auspol2019;ClosedDoubleHashing_user_screen_name;160000;35150
2;auspol2019;STLUnorderedMap_user_id;160000;22116
2;auspol2019;STLUnorderedMap_user_screen_name;160000;20917
2;auspol2019;Chaining_user_id;170000;26953
2;auspol2019;Chaining_user_screen_name;170000;28961
2;auspol2019;ClosedLinear_user_id;170000;23814
2;auspol2019;ClosedLinear_user_screen_name;170000;24520
2;auspol2019;ClosedQuadratic_user_id;170000;24607
2;auspol2019;ClosedQuadratic_user_screen_name;170000;22251
2;auspol2019;ClosedDoubleHashing_user_id;170000;36265
2;auspol2019;ClosedDoubleHashing_user_screen_name;170000;39217
2;auspol2019;STLUnorderedMap_user_id;170000;24347
2;auspol2019;STLUnorderedMap_user_screen_name;170000;23170
2;auspol2019;Chaining_user_id;180000;28421
2;auspol2019;Chaining_user_screen_name;180000;28489
2;auspol2019;ClosedLinear_user_id;180000;25153
2;auspol2019;ClosedLinear_user_screen_name;180000;24306
2;auspol2019;ClosedQuadratic_user_id;180000;23714
2;auspol2019;ClosedQuadratic_user_screen_name;180000;26253
2;auspol2019;ClosedDoubleHashing_user_id;180000;41323
2;auspol2019;ClosedDoubleHashing_user_screen_name;180000;43044
2;auspol2019;STLUnorderedMap_user_id;180000;27933
2;auspol2019;STLUnorderedMap_user_screen_name;180000;38840
3;auspol2019;Chaining_user_id;10000;2315
3;auspol2019;Chaining_user_screen_name;10000;2482
3;auspol2019;ClosedLinear_user_id;10000;2674
3;auspol2019;ClosedLinear_user_screen_name;10000;2701
3;auspol2019;ClosedQuadratic_user_id;10000;2497
3;auspol2019;ClosedQuadratic_user_screen_name;10000;2183
3;auspol2019;ClosedDoubleHashing_user_id;10000;2903
3;auspol2019;ClosedDoubleHashing_user_screen_name;10000;2886
3;auspol2019;STLUnorderedMap_user_id;10000;1895
3;auspol2019;STLUnorderedMap_user_screen_name;10000;1855
3;auspol2019;Chaining_user_id;20000;4700
3;auspol2019;Chaining_user_screen_name;20000;5472
3;auspol2019;ClosedLinear_user_id;20000;4096
3;auspol2019;ClosedLinear_user_screen_name;20000;4518
3;auspol2019;ClosedQuadratic_user_id;20000;3853
3;auspol2019;ClosedQuadratic_user_screen_name;20000;3912
3;auspol2019;ClosedDoubleHashing_user_id;20000;6191
3;auspol2019;ClosedDoubleHashing_user_screen_name;20000;40447198
3;auspol2019;STLUnorderedMap_user_id;20000;3896
3;auspol2019;STLUnorderedMap_user_screen_name;20000;3458
3;auspol2019;Chaining_user_id;30000;5854
3;auspol2019;Chaining_user_screen_name;30000;4942
3;auspol2019;ClosedLinear_user_id;30000;4597
3;auspol2019;ClosedLinear_user_screen_name;30000;4828
3;auspol2019;ClosedQuadratic_user_id;30000;5025
3;auspol2019;ClosedQuadratic_user_screen_name;30000;4879
3;auspol2019;ClosedDoubleHashing_user_id;30000;7076
3;auspol2019;ClosedDoubleHashing_user_screen_name;30000;7583
3;auspol2019;STLUnorderedMap_user_id;30000;5236
3;auspol2019;STLUnorderedMap_user_screen_name;30000;5459
3;auspol2019;Chaining_user_id;40000;9077
3;auspol2019;Chaining_user_screen_name;40000;6485
3;auspol2019;ClosedLinear_user_id;40000;5846
3;auspol2019;ClosedLinear_user_screen_name;40000;5460
3;auspol2019;ClosedQuadratic_user_id;40000;5736
3;auspol2019;ClosedQuadratic_user_screen_name;40000;5583
3;auspol2019;ClosedDoubleHashing_user_id;40000;9449
3;auspol2019;ClosedDoubleHashing_user_screen_name;40000;8822
3;auspol2019;STLUnorderedMap_user_id;40000;7996
3;auspol2019;STLUnorderedMap_user_screen_name;40000;6393
3;auspol2019;Chaining_user_id;50000;8381
3;auspol2019;Chaining_user_screen_name;50000;8296
3;auspol2019;ClosedLinear_user_id;50000;7481
3;auspol2019;ClosedLinear_user_screen_name;50000;6699
3;auspol2019;ClosedQuadratic_user_id;50000;6879
3;auspol2019;ClosedQuadratic_user_screen_name;50000;8502
3;auspol2019;ClosedDoubleHashing_user_id;50000;13945
3;auspol2019;ClosedDoubleHashing_user_screen_name;50000;13349
3;auspol2019;STLUnorderedMap_user_id;50000;8576
3;auspol2019;STLUnorderedMap_user_screen_name;50000;7856
3;auspol2019;Chaining_user_id;60000;10847
3;auspol2019;Chaining_user_screen_name;60000;9636
3;auspol2019;ClosedLinear_user_id;60000;9786
3;auspol2019;ClosedLinear_user_screen_name;60000;10181
3;auspol2019;ClosedQuadratic_user_id;60000;9153
3;auspol2019;ClosedQuadratic_user_screen_name;60000;8640
3;auspol2019;ClosedDoubleHashing_user_id;60000;13684
3;auspol2019;ClosedDoubleHashing_user_screen_name;60000;13507
3;auspol2019;STLUnorderedMap_user_id;60000;9589
3;auspol2019;STLUnorderedMap_user_screen_name;60000;9169
3;auspol2019;Chaining_user_id;70000;12079
3;auspol2019;Chaining_user_screen_name;70000;11105
3;auspol2019;ClosedLinear_user_id;70000;10011
3;auspol2019;ClosedLinear_user_screen_name;70000;10488
3;auspol2019;ClosedQuadratic_user_id;70000;10073
3;auspol2019;ClosedQuadratic_user_screen_name;70000;9743
3;auspol2019;ClosedDoubleHashing_user_id;70000;15629
3;auspol2019;ClosedDoubleHashing_user_screen_name;70000;16209
3;auspol2019;STLUnorderedMap_user_id;70000;11089
3;auspol2019;STLUnorderedMap_user_screen_name;70000;10258
3;auspol2019;Chaining_user_id;80000;13340
3;auspol2019;Chaining_user_screen_name;80000;12563
3;auspol2019;ClosedLinear_user_id;80000;11797
3;auspol2019;ClosedLinear_user_screen_name;80000;11242
3;auspol2019;ClosedQuadratic_user_id;80000;11260
3;auspol2019;ClosedQuadratic_user_screen_name;80000;11185
3;auspol2019;ClosedDoubleHashing_user_id;80000;18064
3;auspol2019;ClosedDoubleHashing_user_screen_name;80000;17873
3;auspol2019;STLUnorderedMap_user_id;80000;12209
3;auspol2019;STLUnorderedMap_user_screen_name;80000;11818
3;auspol2019;Chaining_user_id;90000;15997
3;auspol2019;Chaining_user_screen_name;90000;14383
3;auspol2019;ClosedLinear_user_id;90000;12719
3;auspol2019;ClosedLinear_user_screen_name;90000;12278
3;auspol2019;ClosedQuadratic_user_id;90000;12660
3;auspol2019;ClosedQuadratic_user_screen_name;90000;12488
3;auspol2019;ClosedDoubleHashing_user_id;90000;19820
3;auspol2019;ClosedDoubleHashing_user_screen_name;90000;20087
3;auspol2019;STLUnorderedMap_user_id;90000;14442
3;auspol2019;STLUnorderedMap_user_screen_name;90000;12721
3;auspol2019;Chaining_user_id;100000;16235
3;auspol2019;Chaining_user_screen_name;100000;16171
3;auspol2019;ClosedLinear_user_id;100000;13775
3;auspol2019;ClosedLinear_user_screen_name;100000;13182
3;auspol2019;ClosedQuadratic_user_id;100000;13397
3;auspol2019;ClosedQuadratic_user_screen_name;100000;14120
3;auspol2019;ClosedDoubleHashing_user_id;100000;22080
3;auspol2019;ClosedDoubleHashing_user_screen_name;100000;21639
3;auspol2019;STLUnorderedMap_user_id;100000;14495
3;auspol2019;STLUnorderedMap_user_screen_name;100000;14129
3;auspol2019;Chaining_user_id;110000;19352
3;auspol2019;Chaining_user_screen_name;110000;19139
3;auspol2019;ClosedLinear_user_id;110000;15754
3;auspol2019;ClosedLinear_user_screen_name;110000;15420
3;auspol2019;ClosedQuadratic_user_id;110000;14697
3;auspol2019;ClosedQuadratic_user_screen_name;110000;16165
3;auspol2019;ClosedDoubleHashing_user_id;110000;24395
3;auspol2019;ClosedDoubleHashing_user_screen_name;110000;24144
3;auspol2019;STLUnorderedMap_user_id;110000;15621
3;auspol2019;STLUnorderedMap_user_screen_name;110000;14940
3;auspol2019;Chaining_user_id;120000;19483
